h3_cell,CreationDate,when_did_you_lose_water,when_did_you_regain_water,to_what_extent_did_you_lose_wat
892a8d9ac53ffff,2025-01-09T02:26:22+00:00,2025-01-08T02:25:00+00:00,2025-01-08T14:15:00+00:00,Water pressure was reduced
892a8d9a073ffff,2025-01-09T02:26:40+00:00,,2025-01-09T02:26:00+00:00,Fully lost water
892a8d9a043ffff,2025-01-09T02:26:43+00:00,2025-01-06T20:00:00+00:00,,Fully lost water
892a8d9a06fffff,2025-01-09T02:26:46+00:00,2025-01-07T05:28:00+00:00,2025-01-09T01:25:00+00:00,Fully lost water
892a8d9a263ffff,2025-01-09T02:27:19+00:00,2025-01-06T21:00:00+00:00,2025-01-08T20:30:00+00:00,Fully lost water
892a8d9a337ffff,2025-01-09T02:27:36+00:00,2025-01-06T20:30:00+00:00,,Down to just a trickle
892a8d8b057ffff,2025-01-09T02:28:21+00:00,,,"Not at all, flow was normal"
892a8d9aa53ffff,2025-01-09T02:29:25+00:00,2025-01-07T01:01:00+00:00,2025-01-08T10:28:00+00:00,Fully lost water
892a8d9a34bffff,2025-01-09T02:30:42+00:00,2025-01-06T21:00:00+00:00,2025-01-08T23:30:00+00:00,Fully lost water
892a8d98653ffff,2025-01-09T02:31:41+00:00,2025-01-06T02:31:00+00:00,2025-01-09T02:31:00+00:00,Fully lost water
892a8d91327ffff,2025-01-09T02:32:32+00:00,2025-01-08T02:32:00+00:00,2025-01-09T02:32:00+00:00,Water pressure was reduced
892a8d9ad9bffff,2025-01-09T02:32:35+00:00,2025-01-07T00:00:00+00:00,2025-01-08T23:30:00+00:00,Fully lost water
892aab65973ffff,2025-01-09T02:40:14+00:00,2025-01-07T00:00:00+00:00,2025-01-08T20:00:00+00:00,Fully lost water
892a8d9ae73ffff,2025-01-09T02:40:31+00:00,2025-01-08T00:30:00+00:00,2025-01-08T16:00:00+00:00,Down to just a trickle
892a8d9a3d7ffff,2025-01-09T02:41:56+00:00,,,Fully lost water
892a8d9a167ffff,2025-01-09T02:42:03+00:00,,,Down to just a trickle
892a8d9a22fffff,2025-01-09T02:43:40+00:00,2025-01-06T20:00:00+00:00,2025-01-09T02:41:00+00:00,Fully lost water
892a8d9150fffff,2025-01-09T02:46:54+00:00,2025-01-07T13:00:00+00:00,,Fully lost water
892a8d9a683ffff,2025-01-09T02:47:09+00:00,2025-01-06T22:00:00+00:00,2025-01-08T21:30:00+00:00,Fully lost water
892a8d9b397ffff,2025-01-09T02:47:12+00:00,2025-01-08T02:45:00+00:00,2025-01-08T06:00:00+00:00,Down to just a trickle
892a8d9ae7bffff,2025-01-09T02:47:35+00:00,2025-01-07T00:00:00+00:00,,Water pressure was reduced
892a8d9a347ffff,2025-01-09T02:49:54+00:00,2025-01-06T23:33:00+00:00,2025-01-08T22:43:00+00:00,Fully lost water
892a8d9aedbffff,2025-01-09T02:50:08+00:00,2025-01-07T22:49:00+00:00,2025-01-08T16:49:00+00:00,Down to just a trickle
892a8d98497ffff,2025-01-09T02:50:44+00:00,2025-01-07T00:00:00+00:00,2025-01-08T21:00:00+00:00,Fully lost water
892a8d9a147ffff,2025-01-09T02:51:53+00:00,2025-01-06T18:50:00+00:00,,Fully lost water
892a8d9a2a7ffff,2025-01-09T02:52:43+00:00,2025-01-06T16:00:00+00:00,2025-01-09T02:00:00+00:00,Fully lost water
892a8d9a27bffff,2025-01-09T02:52:53+00:00,2025-01-06T20:00:00+00:00,,Fully lost water
892a8d91367ffff,2025-01-09T02:55:23+00:00,2025-01-07T13:30:00+00:00,2025-01-09T02:54:00+00:00,Fully lost water
892a8d9a66fffff,2025-01-09T02:56:42+00:00,2025-01-06T19:29:00+00:00,2025-02-01T02:54:00+00:00,Fully lost water
892a8d9a6d7ffff,2025-01-09T02:57:49+00:00,2025-01-06T23:30:00+00:00,2025-01-08T17:16:00+00:00,Fully lost water
892a8d9a477ffff,2025-01-09T03:00:06+00:00,2025-01-07T16:00:00+00:00,2025-01-08T23:00:00+00:00,Fully lost water
892a8d9ae07ffff,2025-01-09T03:00:46+00:00,,,"Not at all, flow was normal"
892a8d9ae93ffff,2025-01-09T03:01:57+00:00,2025-01-08T02:00:00+00:00,2025-01-08T08:00:00+00:00,Down to just a trickle
892a8d9aadbffff,2025-01-09T03:02:25+00:00,2025-01-07T03:02:00+00:00,2025-01-07T22:02:00+00:00,Down to just a trickle
892a8d9a257ffff,2025-01-09T03:02:51+00:00,2025-01-06T20:00:00+00:00,2025-01-09T00:20:00+00:00,Fully lost water
892a8d9a213ffff,2025-01-09T03:03:32+00:00,2025-01-06T20:30:00+00:00,2025-01-08T21:00:00+00:00,Fully lost water
892a8d912b3ffff,2025-01-09T03:03:52+00:00,2025-01-06T16:00:00+00:00,,Fully lost water
892aab64b7bffff,2025-01-09T03:04:51+00:00,2025-01-07T03:00:00+00:00,2025-01-08T21:00:00+00:00,Fully lost water
892a8d9a3cbffff,2025-01-09T03:05:49+00:00,2025-01-06T20:30:00+00:00,2025-01-08T23:15:00+00:00,Fully lost water
892a8d9a3afffff,2025-01-09T03:06:46+00:00,2025-01-07T21:00:00+00:00,2025-01-08T12:00:00+00:00,Fully lost water
892a8d9852fffff,2025-01-09T03:09:19+00:00,2025-01-06T23:00:00+00:00,,Water pressure was reduced
892a8d9a233ffff,2025-01-09T03:09:34+00:00,2025-01-06T21:00:00+00:00,2025-01-09T02:00:00+00:00,Fully lost water
892a8d9a4cbffff,2025-01-09T03:10:24+00:00,2025-01-07T12:30:00+00:00,2025-01-09T03:09:00+00:00,Fully lost water
892a8d9a06fffff,2025-01-09T03:11:06+00:00,2025-01-07T01:00:00+00:00,2025-01-08T22:00:00+00:00,Fully lost water
892aab64c8fffff,2025-01-09T03:12:16+00:00,2025-01-07T21:00:00+00:00,2025-01-08T13:05:00+00:00,Fully lost water
892a8d9ad97ffff,2025-01-09T03:12:59+00:00,2025-01-07T14:00:00+00:00,2025-01-08T16:15:00+00:00,Fully lost water
892a8d9a373ffff,2025-01-09T03:13:45+00:00,2025-01-06T22:12:00+00:00,2025-01-08T22:12:00+00:00,Fully lost water
892a8d9a153ffff,2025-01-09T03:15:42+00:00,2025-01-07T03:14:00+00:00,2025-01-09T03:14:00+00:00,Fully lost water
892a8d9a223ffff,2025-01-09T03:15:58+00:00,2025-01-06T18:15:00+00:00,2025-01-09T02:15:00+00:00,Fully lost water
892a8d9a6abffff,2025-01-09T03:16:17+00:00,2025-01-07T00:00:00+00:00,2025-01-08T21:30:00+00:00,Fully lost water
892a8d9856bffff,2025-01-09T03:17:32+00:00,2025-01-06T20:30:00+00:00,2025-01-09T02:00:00+00:00,Fully lost water
892a8d9a2afffff,2025-01-09T03:17:55+00:00,2025-01-06T20:30:00+00:00,2025-01-08T21:00:00+00:00,Fully lost water
892a8d9a257ffff,2025-01-09T03:18:08+00:00,2025-01-06T21:30:00+00:00,2025-01-09T03:17:00+00:00,Fully lost water
892a8d9b697ffff,2025-01-09T03:19:07+00:00,,,"Not at all, flow was normal"
892a8d9a257ffff,2025-01-09T03:23:04+00:00,2025-01-06T20:30:00+00:00,2025-01-09T02:00:00+00:00,Fully lost water
892aab6cc47ffff,2025-01-09T03:24:02+00:00,,,"Not at all, flow was normal"
892a8d9a163ffff,2025-01-09T03:24:12+00:00,2025-01-06T21:30:00+00:00,,Fully lost water
892aab6c197ffff,2025-01-09T03:24:21+00:00,2025-01-09T03:24:00+00:00,,Water pressure was reduced
892a8d9a0c7ffff,2025-01-09T03:25:42+00:00,2025-01-06T21:01:00+00:00,,Down to just a trickle
892a8d9accfffff,2025-01-09T03:26:58+00:00,2025-01-06T19:26:00+00:00,,Water pressure was reduced
892a8d9ad13ffff,2025-01-09T03:27:02+00:00,2025-01-07T00:30:00+00:00,2025-01-09T01:00:00+00:00,Fully lost water
892a8d9b52fffff,2025-01-09T03:27:42+00:00,2025-01-06T19:00:00+00:00,2025-01-08T22:20:00+00:00,Fully lost water
892a8d9a20fffff,2025-01-09T03:31:31+00:00,2025-01-07T03:28:00+00:00,2025-01-09T03:29:00+00:00,Fully lost water
892aab65e67ffff,2025-01-09T03:34:15+00:00,,,"Not at all, flow was normal"
892a8d9a22bffff,2025-01-09T03:35:22+00:00,2025-01-06T20:30:00+00:00,2025-01-09T03:34:00+00:00,Fully lost water
892a8d9a3cbffff,2025-01-09T03:36:52+00:00,2025-01-05T03:36:00+00:00,,Fully lost water
892a8d9a38fffff,2025-01-09T03:39:39+00:00,2025-01-06T03:37:00+00:00,2025-01-09T03:37:00+00:00,Fully lost water
892a8d9a313ffff,2025-01-09T03:40:20+00:00,2025-01-07T02:00:00+00:00,2025-01-08T15:39:00+00:00,Fully lost water
892a8d9a2c3ffff,2025-01-09T03:41:49+00:00,2025-01-06T20:50:00+00:00,,Fully lost water
892a8d9a0d7ffff,2025-01-09T03:42:01+00:00,2025-01-06T21:31:00+00:00,,Water pressure was reduced
892a8d9a4dbffff,2025-01-09T03:43:08+00:00,2025-01-06T23:00:00+00:00,2025-01-08T14:38:00+00:00,Fully lost water
892a8d981b7ffff,2025-01-09T03:43:21+00:00,2025-01-08T02:30:00+00:00,2025-01-08T12:30:00+00:00,Fully lost water
892a8d9a2afffff,2025-01-09T03:43:28+00:00,2025-01-06T19:40:00+00:00,2025-01-09T00:30:00+00:00,Fully lost water
892a8d9a2a7ffff,2025-01-09T03:43:34+00:00,2025-01-06T22:00:00+00:00,2025-01-08T23:00:00+00:00,Fully lost water
892a8d9a38bffff,2025-01-09T03:43:53+00:00,2025-01-07T03:43:00+00:00,2025-01-09T03:43:00+00:00,Fully lost water
892a8d9a207ffff,2025-01-09T03:46:34+00:00,2025-01-06T20:00:00+00:00,,Fully lost water
892a8d9a093ffff,2025-01-09T03:48:04+00:00,2025-01-07T23:02:00+00:00,2025-01-08T15:00:00+00:00,Down to just a trickle
892a8d9a3d3ffff,2025-01-09T03:48:22+00:00,2025-01-07T03:47:00+00:00,,Fully lost water
892a8d9a217ffff,2025-01-09T03:50:10+00:00,2025-01-06T21:47:00+00:00,2025-01-08T22:48:00+00:00,Fully lost water
892a8d9ac17ffff,2025-01-09T03:50:38+00:00,2025-01-06T11:00:00+00:00,2025-01-09T00:00:00+00:00,Fully lost water
892a8d9a07bffff,2025-01-09T03:52:55+00:00,2025-01-07T03:50:00+00:00,,Water pressure was reduced
892a8d9a347ffff,2025-01-09T03:53:11+00:00,2025-01-06T21:00:00+00:00,2025-01-08T21:15:00+00:00,Fully lost water
892a8d9a23bffff,2025-01-09T03:53:26+00:00,2025-01-07T03:52:00+00:00,2025-01-09T03:52:00+00:00,Fully lost water
892a8d91267ffff,2025-01-09T03:56:42+00:00,2025-01-07T00:00:00+00:00,2025-01-08T21:00:00+00:00,Fully lost water
892a8d9a38bffff,2025-01-09T03:59:06+00:00,2025-01-07T03:58:00+00:00,,Fully lost water
892a8d9a3c7ffff,2025-01-09T04:01:17+00:00,2025-01-07T04:00:00+00:00,2025-01-09T02:00:00+00:00,Fully lost water
892a8d98493ffff,2025-01-09T04:02:18+00:00,2025-01-06T20:00:00+00:00,,Fully lost water
892a8d9b317ffff,2025-01-09T04:03:39+00:00,2025-01-06T22:02:00+00:00,2025-01-08T07:03:00+00:00,Fully lost water
892a8d9a47bffff,2025-01-09T04:05:07+00:00,2025-01-06T08:31:00+00:00,,Fully lost water
892a8d9a277ffff,2025-01-09T04:05:35+00:00,2025-01-07T03:00:00+00:00,,Fully lost water
892a8d9a3bbffff,2025-01-09T04:06:56+00:00,2025-01-06T21:00:00+00:00,,"Not at all, flow was normal"
892a8d9856bffff,2025-01-09T04:07:05+00:00,2025-01-07T04:06:00+00:00,,Fully lost water
892a8d9a217ffff,2025-01-09T04:08:18+00:00,2025-01-07T02:30:00+00:00,2025-01-08T22:00:00+00:00,Fully lost water
892a8d9a3cbffff,2025-01-09T04:09:55+00:00,2025-01-07T04:09:00+00:00,,Fully lost water
892a8d9a6a3ffff,2025-01-09T04:19:00+00:00,2025-01-06T21:00:00+00:00,,Fully lost water
892a8d9a373ffff,2025-01-09T04:20:50+00:00,2025-01-06T22:20:00+00:00,,Fully lost water
892a8d91b8fffff,2025-01-09T04:22:03+00:00,2025-01-07T12:00:00+00:00,,Down to just a trickle
892a8d9a143ffff,2025-01-09T04:23:04+00:00,2025-01-08T04:22:00+00:00,2025-01-09T04:22:00+00:00,Fully lost water
892a8d9a3bbffff,2025-01-09T04:24:46+00:00,2025-01-06T21:30:00+00:00,,Down to just a trickle
892a8d9aeabffff,2025-01-09T04:28:40+00:00,2025-01-08T04:00:00+00:00,2025-01-08T15:30:00+00:00,Water pressure was reduced
892a8d9a3abffff,2025-01-09T04:33:33+00:00,2025-01-07T04:32:00+00:00,,Fully lost water
892a8d98057ffff,2025-01-09T04:36:22+00:00,2025-01-06T20:30:00+00:00,2025-01-08T15:00:00+00:00,Down to just a trickle
892a8d9a43bffff,2025-01-09T04:38:50+00:00,2025-01-07T11:00:00+00:00,2025-01-08T22:15:00+00:00,Fully lost water
892a8d9a233ffff,2025-01-09T04:40:26+00:00,2025-01-06T20:00:00+00:00,2025-01-09T00:00:00+00:00,Fully lost water
892a8d9aea3ffff,2025-01-09T04:40:46+00:00,,,"Not at all, flow was normal"
892a8d9a077ffff,2025-01-09T04:45:22+00:00,2025-01-07T17:45:00+00:00,,Fully lost water
892a8d981b7ffff,2025-01-09T04:45:23+00:00,2025-01-06T21:00:00+00:00,2025-01-09T04:43:00+00:00,Fully lost water
892a8d984d7ffff,2025-01-09T04:45:43+00:00,2025-01-07T17:44:00+00:00,2025-01-09T02:30:00+00:00,Fully lost water
892a8d98547ffff,2025-01-09T04:51:22+00:00,2025-01-06T22:25:00+00:00,2025-01-08T15:00:00+00:00,Water pressure was reduced
892a8d9a3b7ffff,2025-01-09T04:53:29+00:00,2025-01-07T01:00:00+00:00,2025-01-09T03:00:00+00:00,Fully lost water
892a8d9a227ffff,2025-01-09T05:02:40+00:00,2025-01-06T20:00:00+00:00,2025-01-09T22:00:00+00:00,Fully lost water
892a8d9a2a7ffff,2025-01-09T05:03:46+00:00,2025-01-06T22:02:00+00:00,2025-01-09T21:02:00+00:00,Fully lost water
892a8d9ac0bffff,2025-01-09T05:04:36+00:00,,,Water pressure was reduced
892a8d9a223ffff,2025-01-09T05:07:45+00:00,2025-01-06T20:03:00+00:00,2025-01-08T21:30:00+00:00,Fully lost water
892a8d9a3c3ffff,2025-01-09T05:08:47+00:00,2025-01-07T00:30:00+00:00,2025-01-08T20:30:00+00:00,Fully lost water
892a8d9b54fffff,2025-01-09T05:19:56+00:00,2025-01-06T16:00:00+00:00,,Down to just a trickle
892a8d9ad1bffff,2025-01-09T05:22:19+00:00,2025-01-07T01:20:00+00:00,2025-01-08T17:20:00+00:00,Fully lost water
892a8d9abd7ffff,2025-01-09T05:26:47+00:00,,,Down to just a trickle
892a8d9ac17ffff,2025-01-09T05:40:18+00:00,2025-01-07T05:39:00+00:00,2025-01-09T17:45:00+00:00,Fully lost water
892a8d98037ffff,2025-01-09T06:02:58+00:00,2025-01-06T23:30:00+00:00,2025-01-09T01:00:00+00:00,Fully lost water
892aab65947ffff,2025-01-09T06:11:51+00:00,2025-01-06T21:10:00+00:00,,Fully lost water
892a8d9a2cfffff,2025-01-09T06:12:42+00:00,2025-01-06T20:15:00+00:00,,Fully lost water
892a8d9ac57ffff,2025-01-09T06:17:17+00:00,2025-01-06T06:16:00+00:00,2025-01-09T00:00:00+00:00,Fully lost water
892a8d9a02bffff,2025-01-09T06:24:08+00:00,2025-01-06T22:30:00+00:00,2025-01-09T06:23:00+00:00,Fully lost water
892a8d9ae0fffff,2025-01-09T06:27:53+00:00,2025-01-08T05:01:00+00:00,2025-01-09T14:00:00+00:00,Down to just a trickle
892a8d9a067ffff,2025-01-09T06:40:23+00:00,2025-01-06T21:15:00+00:00,2025-01-09T03:20:00+00:00,Fully lost water
892a8d9a147ffff,2025-01-09T07:40:12+00:00,2025-01-06T21:30:00+00:00,,Fully lost water
892a8d9a04bffff,2025-01-09T07:59:02+00:00,2025-01-06T07:58:00+00:00,2025-01-08T07:58:00+00:00,Fully lost water
892a8d9a3cbffff,2025-01-09T10:25:16+00:00,2025-01-06T20:30:00+00:00,,Fully lost water
892a8d9ae07ffff,2025-01-09T10:42:09+00:00,2025-01-07T00:00:00+00:00,2025-01-09T00:00:00+00:00,Water pressure was reduced
892a8d9a6c3ffff,2025-01-09T10:57:57+00:00,2025-01-06T18:00:00+00:00,2025-01-08T22:00:00+00:00,Fully lost water
892a8d9856bffff,2025-01-09T11:02:50+00:00,2025-01-07T06:00:00+00:00,2025-01-08T11:00:00+00:00,Fully lost water
892a8d9aac7ffff,2025-01-09T11:11:16+00:00,2025-01-07T01:10:00+00:00,2025-01-08T11:10:00+00:00,Down to just a trickle
892a8d980dbffff,2025-01-09T11:12:48+00:00,,,Water pressure was reduced
892a8d9813bffff,2025-01-09T11:14:16+00:00,2025-01-06T23:00:00+00:00,,Fully lost water
892a8d9a66fffff,2025-01-09T11:30:07+00:00,2025-01-06T20:30:00+00:00,2025-01-09T11:00:00+00:00,Fully lost water
892a8d98613ffff,2025-01-09T11:30:42+00:00,,,"Not at all, flow was normal"
892a8d9856bffff,2025-01-09T11:30:57+00:00,2025-01-06T23:00:00+00:00,2025-01-08T10:00:00+00:00,Fully lost water
892a8d981d3ffff,2025-01-09T11:31:47+00:00,2025-01-06T23:00:00+00:00,2025-01-08T23:00:00+00:00,Fully lost water
892a8d981bbffff,2025-01-09T11:35:26+00:00,2025-01-07T00:30:00+00:00,2025-01-08T15:00:00+00:00,Fully lost water
892a8d9959bffff,2025-01-09T11:40:14+00:00,2025-01-07T04:59:00+00:00,2025-01-08T05:00:00+00:00,Fully lost water
892a8d980b3ffff,2025-01-09T11:40:41+00:00,2025-01-06T02:00:00+00:00,2025-01-09T09:00:00+00:00,Fully lost water
892a8d9a2dbffff,2025-01-09T11:44:35+00:00,2025-01-06T19:00:00+00:00,,Fully lost water
892a8d980b7ffff,2025-01-09T11:45:12+00:00,2025-01-06T23:00:00+00:00,2025-01-09T11:44:00+00:00,Fully lost water
892a8d980c7ffff,2025-01-09T11:47:26+00:00,2025-01-06T22:30:00+00:00,2025-01-08T23:30:00+00:00,Fully lost water
892a8d995dbffff,2025-01-09T11:52:30+00:00,2025-01-07T17:51:00+00:00,2025-01-08T11:00:00+00:00,Fully lost water
892a8d9a217ffff,2025-01-09T11:52:47+00:00,2025-01-06T21:30:00+00:00,,Fully lost water
892a8d9aaafffff,2025-01-09T11:58:24+00:00,2025-01-08T01:00:00+00:00,2025-01-08T10:00:00+00:00,Down to just a trickle
892a8d9ac53ffff,2025-01-09T12:01:32+00:00,2025-01-07T12:01:00+00:00,,Fully lost water
892a8d9ac1bffff,2025-01-09T12:04:19+00:00,2025-01-07T02:00:00+00:00,2025-01-08T21:00:00+00:00,Fully lost water
892a8d9ae2fffff,2025-01-09T12:05:02+00:00,,,Water pressure was reduced
892a8d98567ffff,2025-01-09T12:09:46+00:00,2025-01-07T12:00:00+00:00,2025-01-08T12:00:00+00:00,Fully lost water
892a8d98577ffff,2025-01-09T12:10:01+00:00,2025-01-07T11:00:00+00:00,2025-01-08T10:00:00+00:00,Fully lost water
892a8d995abffff,2025-01-09T12:11:02+00:00,2025-01-06T01:00:00+00:00,2025-01-08T22:09:00+00:00,Fully lost water
892a8d98573ffff,2025-01-09T12:11:54+00:00,2025-01-07T01:09:00+00:00,2025-01-09T03:00:00+00:00,Down to just a trickle
892a8d99d87ffff,2025-01-09T12:19:06+00:00,2025-01-07T12:00:00+00:00,2025-01-08T14:00:00+00:00,Fully lost water
892a8d9aa83ffff,2025-01-09T12:24:15+00:00,2025-01-07T17:22:00+00:00,2025-01-10T00:00:00+00:00,Water pressure was reduced
892a8d9a2a3ffff,2025-01-09T12:24:36+00:00,2025-01-06T23:00:00+00:00,,Fully lost water
892a8d99517ffff,2025-01-09T12:24:59+00:00,2025-01-06T20:00:00+00:00,2025-01-08T23:00:00+00:00,Fully lost water
892a8d9804bffff,2025-01-09T12:25:46+00:00,2025-01-06T12:25:00+00:00,2025-01-08T12:25:00+00:00,Water pressure was reduced
892a8d9aaa7ffff,2025-01-09T12:26:16+00:00,2025-01-06T21:00:00+00:00,2025-01-08T12:26:00+00:00,Water pressure was reduced
892a8d9a203ffff,2025-01-09T12:26:58+00:00,2025-01-06T19:30:00+00:00,2025-01-09T00:00:00+00:00,Fully lost water
892a8d98037ffff,2025-01-09T12:29:00+00:00,2025-01-07T00:28:00+00:00,2025-01-08T11:28:00+00:00,Fully lost water
892a8d9889bffff,2025-01-09T12:29:52+00:00,2025-01-07T12:29:00+00:00,2025-01-09T12:29:00+00:00,Fully lost water
892a8d9b197ffff,2025-01-09T12:32:54+00:00,2025-01-06T12:32:00+00:00,,Fully lost water
892a8d98287ffff,2025-01-09T12:33:17+00:00,2025-01-06T21:30:00+00:00,2025-01-09T02:30:00+00:00,Water pressure was reduced
892a8d9a403ffff,2025-01-09T12:35:19+00:00,2025-01-07T04:59:00+00:00,2025-01-08T17:00:00+00:00,Fully lost water
892a8d9a06fffff,2025-01-09T12:37:21+00:00,2025-01-06T21:00:00+00:00,2025-01-09T12:00:00+00:00,Fully lost water
892a8d91277ffff,2025-01-09T12:37:52+00:00,2025-01-07T01:00:00+00:00,2025-01-09T00:00:00+00:00,Fully lost water
892a8d9a217ffff,2025-01-09T12:40:40+00:00,2025-01-06T17:39:00+00:00,,Fully lost water
892a8d985abffff,2025-01-09T12:41:05+00:00,2025-01-09T12:40:00+00:00,,Water pressure was reduced
892a8d9a29bffff,2025-01-09T12:41:26+00:00,2025-01-06T20:00:00+00:00,,Fully lost water
892a8d98233ffff,2025-01-09T12:43:29+00:00,,2025-01-08T20:43:00+00:00,Water pressure was reduced
892a8d9848bffff,2025-01-09T12:47:10+00:00,2025-01-06T20:30:00+00:00,2025-01-09T00:30:00+00:00,Fully lost water
892a8d9aacfffff,2025-01-09T12:50:12+00:00,2025-01-06T23:30:00+00:00,,Down to just a trickle
892a8d9853bffff,2025-01-09T12:51:08+00:00,2025-01-07T12:50:00+00:00,2025-01-09T12:50:00+00:00,Down to just a trickle
892aab64bc3ffff,2025-01-09T12:52:01+00:00,2025-01-06T12:47:00+00:00,2025-01-08T12:48:00+00:00,Fully lost water
892a8d981bbffff,2025-01-09T12:55:37+00:00,2025-01-06T21:00:00+00:00,,Fully lost water
892a8d98edbffff,2025-01-09T12:57:22+00:00,2025-01-07T04:00:00+00:00,2025-01-07T19:00:00+00:00,Fully lost water
892a8d9b32fffff,2025-01-09T12:57:35+00:00,2025-01-07T21:30:00+00:00,2025-01-08T20:56:00+00:00,Down to just a trickle
892a8d9ae77ffff,2025-01-09T12:58:25+00:00,2025-01-07T12:57:00+00:00,2025-01-08T12:58:00+00:00,Water pressure was reduced
892a8d98287ffff,2025-01-09T13:00:06+00:00,,2025-01-06T12:59:00+00:00,Water pressure was reduced
892aab6590fffff,2025-01-09T13:04:05+00:00,2025-01-06T13:02:00+00:00,2025-01-08T13:02:00+00:00,Fully lost water
892a8d9b0cbffff,2025-01-09T13:05:34+00:00,2025-01-07T23:00:00+00:00,2025-01-08T23:00:00+00:00,Fully lost water
892a8d9a477ffff,2025-01-09T13:07:12+00:00,2025-01-06T23:00:00+00:00,2025-01-08T20:00:00+00:00,Fully lost water
892a8d9a5c7ffff,2025-01-09T13:07:43+00:00,2025-01-07T00:30:00+00:00,2025-01-08T19:30:00+00:00,Down to just a trickle
892a8d9a84fffff,2025-01-09T13:09:42+00:00,2025-01-07T13:08:00+00:00,2025-01-08T13:08:00+00:00,Fully lost water
892a8d9802bffff,2025-01-09T13:12:31+00:00,2025-01-07T00:00:00+00:00,2025-01-08T23:00:00+00:00,Fully lost water
892a8d9a5d7ffff,2025-01-09T13:13:16+00:00,2025-01-07T11:00:00+00:00,2025-01-08T19:00:00+00:00,Fully lost water
892a8d91293ffff,2025-01-09T13:17:51+00:00,,,Water pressure was reduced
892a8d9a687ffff,2025-01-09T13:18:22+00:00,2025-01-06T21:00:00+00:00,2025-01-09T01:00:00+00:00,Fully lost water
892a8d9ae07ffff,2025-01-09T13:19:19+00:00,,,"Not at all, flow was normal"
892a8d981d3ffff,2025-01-09T13:21:06+00:00,2025-01-07T05:00:00+00:00,2025-01-09T10:00:00+00:00,Water pressure was reduced
892a8d9ac13ffff,2025-01-09T13:22:18+00:00,2025-01-07T13:19:00+00:00,2025-01-09T01:20:00+00:00,Fully lost water
892a8d981d3ffff,2025-01-09T13:22:25+00:00,2025-01-07T10:00:00+00:00,2025-01-08T13:19:00+00:00,Fully lost water
892a8d9a217ffff,2025-01-09T13:22:25+00:00,2025-01-06T19:00:00+00:00,2025-01-08T19:00:00+00:00,Fully lost water
892a8d9ac5bffff,2025-01-09T13:24:59+00:00,2025-01-06T22:00:00+00:00,,Fully lost water
892a8d91293ffff,2025-01-09T13:25:59+00:00,,,Water pressure was reduced
892a8d9aeabffff,2025-01-09T13:32:46+00:00,,,Water pressure was reduced
892a8d91013ffff,2025-01-09T13:39:53+00:00,2025-01-07T13:39:00+00:00,2025-01-08T13:39:00+00:00,Down to just a trickle
892a8d99da7ffff,2025-01-09T13:42:45+00:00,2025-01-06T13:42:00+00:00,2025-01-09T02:00:00+00:00,Down to just a trickle
892a8d9a20bffff,2025-01-09T13:46:10+00:00,2025-01-06T19:45:00+00:00,2025-01-09T12:00:00+00:00,Fully lost water
892a8d9800fffff,2025-01-09T13:49:01+00:00,2025-01-06T20:30:00+00:00,2025-01-08T21:30:00+00:00,Down to just a trickle
892a8d9b367ffff,2025-01-09T13:50:43+00:00,2025-01-06T20:00:00+00:00,2025-01-08T02:00:00+00:00,Fully lost water
892a8d9a22bffff,2025-01-09T13:54:16+00:00,2025-01-06T20:00:00+00:00,,Fully lost water
892a8d9812bffff,2025-01-09T13:54:44+00:00,2025-01-07T01:30:00+00:00,,Fully lost water
892a8d9a393ffff,2025-01-09T13:55:47+00:00,2025-01-07T05:00:00+00:00,2025-01-08T21:00:00+00:00,Fully lost water
892a8d9a08bffff,2025-01-09T14:03:27+00:00,2025-01-08T02:00:00+00:00,2025-01-08T17:00:00+00:00,Down to just a trickle
892a8d9ac03ffff,2025-01-09T14:03:31+00:00,2025-01-08T00:00:00+00:00,2025-01-08T11:00:00+00:00,Fully lost water
892a8d98087ffff,2025-01-09T14:04:13+00:00,2025-01-07T02:00:00+00:00,2025-01-08T12:00:00+00:00,Fully lost water
892a8d9854fffff,2025-01-09T14:04:58+00:00,2025-01-06T23:02:00+00:00,2025-01-08T17:00:00+00:00,Fully lost water
892a8d9aab3ffff,2025-01-09T14:05:40+00:00,,,Water pressure was reduced
892a8d9aacfffff,2025-01-09T14:06:21+00:00,2025-01-07T03:00:00+00:00,2025-01-09T11:00:00+00:00,Down to just a trickle
892a8d9a357ffff,2025-01-09T14:07:02+00:00,2025-01-06T20:00:00+00:00,2025-01-09T23:00:00+00:00,Fully lost water
892a8d9a273ffff,2025-01-09T14:11:10+00:00,2025-01-06T20:15:00+00:00,2025-01-09T11:00:00+00:00,Fully lost water
892a8d9ae77ffff,2025-01-09T14:12:13+00:00,2025-01-07T00:30:00+00:00,2025-01-08T13:00:00+00:00,Water pressure was reduced
892a8d9aacbffff,2025-01-09T14:21:46+00:00,2025-01-09T14:19:00+00:00,,Water pressure was reduced
892a8d9a2afffff,2025-01-09T14:25:12+00:00,2025-01-06T19:00:00+00:00,2025-01-09T03:00:00+00:00,Fully lost water
892a8d99557ffff,2025-01-09T14:25:52+00:00,2025-01-06T21:25:00+00:00,2025-01-08T14:25:00+00:00,Fully lost water
